no,teamA, teamB, scoreA, scoreB,
223,Samoa  7s, South Africa 7s, 5, 28, 
224,New Zealand  7s, USA 7s, 12, 19, 
225,Russia  7s, England 7s, 26, 5, 
226,Spain  7s, Papua New Guinea 7s, 17, 21, 
227,1st Pool C 2nd Pool A, , , 
228,England  7s, USA 7s, 28, 5, 
229,Canada  7s, Spain 7s, 24, 0, 
230,Portugal  7s, Spain 7s, 17, 10, 
231,Portugal  7s, Uganda 7s, 31, 5, 
232,Fiji  7s, Samoa 7s, 31, 14, 
233,Japan  7s, Spain 7s, 10, 15, 
234,England  7s, Japan 7s, 35, 0, 
235,USA  7s, France 7s, 5, 33, 
236,Wales  7s, Spain 7s, 38, 0, 
237,England  7s, Argentina 7s, 19, 21, 
238,Kenya  7s, France 7s, 26, 0, 
239,Australia  7s, Canada 7s, 10, 20, 
240,Canada  7s, Papua New Guinea 7s, 39, 5, 
241,New Zealand  7s, Papua New Guinea 7s, 34, 5, 
242,Canada  7s, Zambia 7s, 27, 12, 
243,Samoa  7s, Australia 7s, 19, 15, 
244,Australia  7s, Spain 7s, 12, 5, 
245,Argentina  7s, Canada 7s, , , 
246,Fiji  7s, Wales 7s, 15, 28, 
247,France  7s, Cook Islands 7s, 21, 12, 
248,USA  7s, Australia 7s, 19, 26, 
249,New Zealand  7s, Australia 7s, 31, 5, 
250,Australia  7s, Kenya 7s, 47, 7, 
251,France  7s, Wales 7s, 12, 14, 
252,Winner M25 Winner M26, , , 
253,Fiji  7s, USA 7s, 36, 5, 
254,Ireland  7s, Russia 7s, 14, 19, 
255,Argentina  7s, Russia 7s, 31, 7, 
256,Scotland  7s, Georgia 7s, 14, 20, 
257,South Africa  7s, Canada 7s, 41, 0, 
258,Canada  7s, Australia 7s, 5, 27, 
259,Scotland  7s, Chile 7s, 17, 5, 
260,Fiji  7s, Samoa 7s, 17, 19, 
261,England  7s, Spain 7s, 31, 7, 
262,South Africa  7s, France 7s, 10, 7, 
263,France  7s, Kenya 7s, 31, 7, 
264,Samoa  7s, Canada 7s, 17, 12, 
265,Wales  7s, Fiji 7s, 0, 32, 
266,Argentina  7s, Zimbabwe 7s, 21, 0, 
267,New Zealand  7s, Wales 7s, 35, 7, 
268,Fiji  7s, England 7s, 14, 7, 
269,Argentina  7s, Cook Islands 7s, 40, 7, 
270,Fiji  7s, Samoa 7s, 31, 5, 
271,England  7s, Japan 7s, 19, 12, 
272,Samoa  7s, Canada 7s, 22, 7, 
273,Australia  7s, New Zealand 7s, 15, 12, 
274,South Africa  7s, Japan 7s, 32, 0, 
275,England  7s, France 7s, 24, 7, 
276,Australia  7s, Zambia 7s, 12, 10, 
277,Australia  7s, South Africa 7s, 38, 5, 
278,Spain  7s, Australia 7s, 15, 5, 
279,South Africa  7s, Samoa 7s, 21, 12, 
280,Ireland  7s, Fiji 7s, , , 
281,New Zealand  7s, Brazil 7s, 36, 5, 
282,South Africa  7s, Uganda 7s, 57, 0, 
283,New Zealand  7s, Japan 7s, , , 
284,France  7s, Portugal 7s, 12, 19, 
285,Canada  7s, Samoa 7s, 19, 26, 
286,Argentina  7s, USA 7s, 14, 12, 
287,USA  7s, Tonga 7s, 0, 41, 
288,New Zealand  7s, Netherlands 7s, 21, 0, 
289,South Africa  7s, Argentina 7s, 50, 0, 
290,New Zealand  7s, Russia 7s, 61, 0, 
291,Australia  7s, Singapore 7s, 38, 7, 
292,France  7s, Canada 7s, 10, 24, 
293,USA  7s, South Africa 7s, 10, 24, 
294,New Zealand  7s, Fiji 7s, 24, 21, 
295,Australia  7s, France 7s, 14, 12, 
296,New Zealand  7s, England 7s, 26, 5, 
297,Australia  7s, England 7s, 12, 15, 
298,Australia  7s, Fiji 7s, 14, 31, 
299,France  7s, Tunisia 7s, 7, 12, 
300,England  7s, Ireland 7s, 21, 19, 
301,New Zealand  7s, Canada 7s, 14, 26, 
302,France  7s, Papua New Guinea 7s, 31, 10, 
303,Tonga  7s, Fiji 7s, 10, 19, 
304,Fiji  7s, France 7s, 47, 7, 
305,New Zealand  7s, France 7s, 21, 12, 
306,Australia  7s, Canada 7s, 17, 19, 
307,Fiji  7s, Japan 7s, 5, 12, 
308,Canada  7s, Papua New Guinea 7s, 33, 20, 
309,Australia  7s, Ireland 7s, 12, 7, 
310,Samoa  7s, Kenya 7s, 19, 7, 
311,Chinese Taipei  7s, Hong Kong 7s, 7, 26, 
312,Argentina  7s, England 7s, 10, 0, 
313,England  7s, Japan 7s, 36, 0, 
314,Netherlands  7s, Brazil 7s, 22, 0, 
315,Spain  7s, China 7s, , , 
316,Argentina  7s, England 7s, 26, 21, 
317,England  7s, Argentina 7s, 26, 7, 
318,Australia  7s, Spain 7s, , , 
319,Australia  7s, New Zealand 7s, 24, 12, 
320,Fiji  7s, Samoa 7s, 14, 17, 
321,South Africa  7s, Canada 7s, 12, 19, 
322,Samoa  7s, Australia 7s, 14, 19, 
323,New Zealand  7s, USA 7s, 21, 5, 
324,New Zealand  7s, Spain 7s, 41, 0, 
325,New Zealand  7s, Canada 7s, 33, 24, 
326,Winner M29 Winner M30, , , 
327,Argentina  7s, Zimbabwe 7s, 14, 24, 
328,New Zealand  7s, France 7s, 36, 7, 
329,USA  7s, Fiji 7s, 19, 24, 
330,Canada  7s, USA 7s, 31, 0, 
331,New Zealand  7s, Georgia 7s, 40, 7, 
332,Kenya  7s, Portugal 7s, 19, 12, 
333,Fiji  7s, United Arab Emirates 7s, 45, 0, 
334,USA  7s, Argentina 7s, 26, 19, 
335,Russia  7s, England 7s, 17, 14, 
336,Russia  7s, Samoa 7s, 17, 12, 
337,France  7s, Chile 7s, 45, 7, 
338,South Africa  7s, France 7s, 5, 19, 
339,England  7s, China 7s, 35, 12, 
340,Brazil  7s, Tunisia 7s, 24, 0, 
341,USA  7s, South Africa 7s, 7, 26, 
342,Argentina  7s, Australia 7s, 40, 12, 
343,Samoa  7s, USA 7s, 38, 5, 
344,Samoa  7s, Kenya 7s, 26, 21, 
345,Fiji  7s, South Africa 7s, 14, 12, 
346,Australia  7s, Tonga 7s, 32, 0, 
347,England  7s, France 7s, 21, 12, 
348,South Africa  7s, Tonga 7s, 45, 5, 
349,New Zealand  7s, USA 7s, 33, 7, 
350,Samoa  7s, Tunisia 7s, 31, 0, 
351,Canada  7s, USA 7s, 41, 7, 
352,Australia  7s, Scotland 7s, 17, 21, 
353,Argentina  7s, Wales 7s, 7, 10, 
354,France  7s, Chile 7s, 12, 17, 
355,New Zealand  7s, Canada 7s, 31, 10, 
356,England  7s, Kenya 7s, 26, 0, 
357,Samoa  7s, Zimbabwe 7s, 39, 0, 
358,New Zealand  7s, Russia 7s, , , 
359,Japan  7s, France 7s, 12, 19, 
360,England  7s, Papua New Guinea 7s, 26, 0, 
361,Australia  7s, New Zealand 7s, 26, 12, 
362,Russia  7s, Brazil 7s, 41, 0, 
363,Samoa  7s, Wales 7s, 17, 10, 
364,Wales  7s, Australia 7s, 33, 14, 
365,Samoa  7s, England 7s, 12, 24, 
366,New Zealand  7s, China 7s, 24, 0, 
367,New Zealand  7s, Brazil 7s, 33, 0, 
368,Argentina  7s, Kenya 7s, 7, 5, 
369,Australia  7s, England 7s, 14, 33, 
370,Kenya  7s, Argentina 7s, 19, 17, 
371,England  7s, Netherlands 7s, 19, 12, 
372,Hong Kong  7s, Argentina 7s, 7, 33, 
373,Ireland  7s, Brazil 7s, 7, 29, 
374,Kenya  7s, Samoa 7s, 14, 19, 
375,New Zealand  7s, Fiji 7s, 0, 44, 
376,Ireland  7s, Georgia 7s, 7, 12, 
377,Australia  7s, USA 7s, 5, 10, 
378,England  7s, South Africa 7s, 17, 14, 
379,England  7s, Japan 7s, 26, 0, 
380,Canada  7s, Fiji 7s, 14, 17, 
381,Argentina  7s, Uganda 7s, 12, 7, 
382,France  7s, Wales 7s, 12, 14, 
383,Uganda  7s, Sri Lanka 7s, 38, 14, 
384,Ireland  7s, Brazil 7s, 5, 20, 
385,Netherlands  7s, China 7s, 19, 0, 
386,England  7s, USA 7s, 14, 22, 
387,England  7s, Samoa 7s, 19, 7, 
388,Canada  7s, Cook Islands 7s, 26, 12, 
389,Argentina  7s, Australia 7s, 26, 21, 
390,Fiji  7s, Ireland 7s, 7, 59, 
391,South Africa  7s, Japan 7s, , , 
392,Fiji  7s, Canada 7s, 26, 12, 
393,New Zealand  7s, Samoa 7s, 31, 0, 
394,South Africa  7s, Canada 7s, 33, 0, 
395,South Africa  7s, Australia 7s, 0, 29, 
396,Canada  7s, Russia 7s, 12, 7, 
397,Wales  7s, Portugal 7s, 17, 5, 
398,South Africa  7s, France 7s, 34, 0, 
399,Canada  7s, France 7s, 7, 8, 
400,France  7s, Canada 7s, 22, 19, 
401,South Africa  7s, Zambia 7s, 45, 0, 
402,Fiji  7s, Argentina 7s, 26, 21, 
403,Canada  7s, Japan 7s, 5, 17, 
404,Kenya  7s, France 7s, 14, 5, 
405,Brazil  7s, China 7s, 12, 26, 
406,Loser M23 Loser M24, , , 
407,Spain  7s, Fiji 7s, 20, 14, 
408,Ireland  7s, China 7s, 17, 7, 
409,Fiji  7s, England 7s, , , 
410,Canada  7s, France 7s, 28, 0, 
411,1st Pool B Best 3rd, , , 
412,France  7s, Samoa 7s, 17, 14, 
413,Samoa  7s, South Africa 7s, 14, 12, 
414,South Africa  7s, Argentina 7s, 25, 10, 
415,China  7s, Netherlands 7s, 0, 33, 
416,USA  7s, France 7s, 12, 14, 
417,Fiji  7s, England 7s, 15, 19, 
418,Spain  7s, Brazil 7s, 12, 7, 
419,South Africa  7s, New Zealand 7s, 12, 17, 
420,Fiji  7s, New Zealand 7s, , , 
421,Scotland  7s, Namibia 7s, 19, 15, 
422,England  7s, Brazil 7s, 28, 7, 
423,South Africa  7s, Argentina 7s, 12, 22, 
424,Russia  7s, Japan 7s, 29, 0, 
425,Canada  7s, Georgia 7s, 26, 22, 
426,England  7s, Kenya 7s, 19, 12, 
427,Australia  7s, Argentina 7s, 19, 7, 
428,New Zealand  7s, Argentina 7s, 21, 14, 
429,Fiji  7s, Wales 7s, 33, 7, 
430,France  7s, Russia 7s, , , 
431,USA  7s, Russia 7s, 14, 17, 
432,Australia  7s, France 7s, 17, 14, 
433,Fiji  7s, Thailand 7s, 67, 0, 
434,England  7s, Australia 7s, 17, 14, 
435,New Zealand  7s, USA 7s, 40, 0, 
436,Argentina  7s, United Arab Emirates 7s, 73, 7, 
437,Argentina  7s, France 7s, 24, 26, 
438,England  7s, France 7s, 12, 5, 
439,Japan  7s, Chile 7s, 7, 19, 
440,Fiji  7s, New Zealand 7s, 7, 31, 
441,New Zealand  7s, France 7s, 14, 0, 
442,Scotland  7s, Australia 7s, 14, 43, 
443,Canada  7s, USA 7s, 19, 40, 
444,Wales  7s, Australia 7s, 22, 33, 
445,Portugal  7s, Papua New Guinea 7s, 26, 29, 
446,England  7s, Argentina 7s, 12, 12, 
447,South Africa  7s, Russia 7s, 19, 10, 
448,Argentina  7s, Scotland 7s, 31, 14, 
449,China  7s, Singapore 7s, 26, 0, 
450,Australia  7s, Argentina 7s, 28, 0, 
451,New Zealand  7s, England 7s, 26, 19, 
452,New Zealand  7s, Papua New Guinea 7s, 31, 7, 
453,Wales  7s, Spain 7s, 26, 14, 
454,Scotland  7s, Wales 7s, 12, 24, 
455,USA  7s, England 7s, , , 
456,Fiji  7s, Russia 7s, 38, 7, 
457,Canada  7s, Russia 7s, 12, 12, 
458,Fiji  7s, Australia 7s, 15, 26, 
459,Spain  7s, Japan 7s, 26, 12, 
460,Winner M19 Winner M20, , , 
461,Fiji  7s, Portugal 7s, 42, 0, 
462,Portugal  7s, Russia 7s, 7, 10, 
463,Russia  7s, Spain 7s, 26, 0, 
464,Samoa  7s, Kenya 7s, 26, 7, 
465,Fiji  7s, New Zealand 7s, 12, 33, 
466,England  7s, Spain 7s, 31, 0, 
467,Kenya  7s, Zimbabwe 7s, 5, 21, 
468,Samoa  7s, Japan 7s, , , 
469,Australia  7s, France 7s, 42, 0, 
470,New Zealand  7s, Argentina 7s, 28, 14, 
471,Scotland  7s, England 7s, 19, 17, 
472,Brazil  7s, Japan 7s, 7, 21, 
473,New Zealand  7s, Brazil 7s, 29, 0, 
474,Wales  7s, Kenya 7s, 12, 26, 
475,Loser M39 Loser M40, , , 
476,Argentina  7s, Australia 7s, 5, 10, 
477,USA  7s, Canada 7s, 5, 17, 
478,New Zealand  7s, Russia 7s, 7, 33, 
479,Canada  7s, Japan 7s, 7, 19, 
480,Samoa  7s, New Zealand 7s, 0, 33, 
481,Kenya  7s, Scotland 7s, 19, 14, 
482,New Zealand  7s, Ireland 7s, 27, 5, 
483,Samoa  7s, Fiji 7s, 14, 12, 
484,New Zealand  7s, Australia 7s, 29, 14, 
485,Cook Islands  7s, Papua New Guinea 7s, 31, 14, 
486,New Zealand  7s, USA 7s, 19, 24, 
487,New Zealand  7s, Netherlands 7s, 20, 5, 
488,1st Pool C 2nd Pool B, , , 
489,Scotland  7s, Samoa 7s, 10, 31, 
490,Canada  7s, Uganda 7s, 36, 5, 
491,Canada  7s, England 7s, 7, 29, 
492,USA  7s, Samoa 7s, 27, 0, 
493,Zimbabwe  7s, USA 7s, 7, 41, 
494,Brazil  7s, Ireland 7s, 0, 15, 
495,Russia  7s, China 7s, 31, 0, 
496,Fiji  7s, Ireland 7s, 17, 17, 
497,Fiji  7s, England 7s, 17, 19, 
498,New Zealand  7s, Samoa 7s, 21, 7, 
499,Australia  7s, USA 7s, 5, 26, 
500,South Africa  7s, England 7s, 15, 21, 
501,France  7s, USA 7s, 19, 14, 
502,South Africa  7s, Australia 7s, 26, 12, 
503,Samoa  7s, Argentina 7s, 28, 28, 
504,New Zealand  7s, England 7s, 17, 14, 
505,Canada  7s, Uruguay 7s, 29, 0, 
506,Canada  7s, Cook Islands 7s, 12, 24, 
507,Australia  7s, Niue Island 7s, 36, 5, 
508,Scotland  7s, Canada 7s, 14, 19, 
509,New Zealand  7s, France 7s, 31, 12, 
510,Kenya  7s, United Arab Emirates 7s, 31, 19, 
511,New Zealand  7s, Niue Island 7s, 33, 0, 
512,South Africa  7s, France 7s, 21, 12, 
513,England  7s, Japan 7s, 24, 5, 
514,South Africa  7s, Samoa 7s, 26, 5, 
515,England  7s, Fiji 7s, 12, 15, 
516,New Zealand  7s, Netherlands 7s, 15, 0, 
517,Fiji  7s, New Zealand 7s, 12, 29, 
518,Portugal  7s, Cook Islands 7s, 12, 24, 
519,Fiji  7s, France 7s, 12, 19, 
520,Kenya  7s, New Zealand 7s, 0, 45, 
521,1st Pool A 2nd Pool D, , , 
522,New Zealand  7s, South Africa 7s, 54, 14, 
523,South Africa  7s, China 7s, 19, 7, 
524,Wales  7s, Australia 7s, 0, 26, 
525,Fiji  7s, Scotland 7s, 36, 12, 
526,Japan  7s, Tonga 7s, 31, 19, 
527,Wales  7s, England 7s, 12, 33, 
528,France  7s, Ireland 7s, 21, 12, 
529,Fiji  7s, Kenya 7s, 24, 5, 
530,USA  7s, Argentina 7s, 10, 31, 
531,South Africa  7s, USA 7s, 36, 7, 
532,New Zealand  7s, Samoa 7s, 12, 33, 
533,Russia  7s, France 7s, 0, 22, 
534,Canada  7s, Zimbabwe 7s, 28, 7, 
535,Spain  7s, USA 7s, 12, 17, 
536,New Zealand  7s, Argentina 7s, 24, 19, 
537,Australia  7s, Canada 7s, 12, 26, 
538,England  7s, Kenya 7s, 26, 17, 
539,Scotland  7s, Argentina 7s, 7, 14, 
540,Canada  7s, Ireland 7s, 24, 12, 
541,South Africa  7s, Kenya 7s, 38, 10, 
542,Fiji  7s, New Zealand 7s, 31, 0, 
543,France  7s, USA 7s, 17, 14, 
544,Canada  7s, Scotland 7s, 14, 12, 
545,Portugal  7s, United Arab Emirates 7s, 41, 0, 
546,Argentina  7s, Kenya 7s, 7, 21, 
547,Canada  7s, Ireland 7s, 33, 5, 
548,France  7s, Zimbabwe 7s, 26, 0, 
549,New Zealand  7s, Australia 7s, 36, 12, 
550,New Zealand  7s, South Africa 7s, 12, 5, 
551,Argentina  7s, Kenya 7s, 19, 24, 
552,Chinese Taipei  7s, Thailand 7s, 21, 5, 
553,New Zealand  7s, Scotland 7s, 35, 5, 
554,Fiji  7s, USA 7s, 7, 24, 
555,France  7s, Portugal 7s, 12, 12, 
556,England  7s, Ireland 7s, 31, 19, 
557,South Africa  7s, England 7s, 5, 26, 
558,USA  7s, New Zealand 7s, 14, 27, 
559,England  7s, Canada 7s, 40, 0, 
560,England  7s, Wales 7s, 14, 14, 
561,South Africa  7s, Tunisia 7s, 38, 0, 
562,France  7s, United Arab Emirates 7s, 26, 19, 
563,Scotland  7s, Japan 7s, , , 
564,Samoa  7s, Argentina 7s, 17, 15, 
565,Australia  7s, Canada 7s, , , 
566,Kenya  7s, Ireland 7s, 21, 14, 
567,Fiji  7s, Argentina 7s, 40, 7, 
568,South Africa  7s, USA 7s, 33, 12, 
